@SiteCode,@Latitude,@Longitude,@SpeciesCode,@annualMean
BG1,51.563752,0.177891,NO2,17
BG2,51.529389,0.132857,DUST,20
BG2,51.529389,0.132857,NO2,20
BG2,51.529389,0.132857,PM10,18
BL0,51.522287,-0.125848,NO2,28
BL0,51.522287,-0.125848,PM10,16
BL0,51.522287,-0.125848,PM25,9
BQ7,51.4946486813055,0.137279111232178,DUST,18
BQ7,51.4946486813055,0.137279111232178,NO2,17
BQ7,51.4946486813055,0.137279111232178,PM10,18
BQ7,51.4946486813055,0.137279111232178,PM10,18
BQ8,51.4946486813055,0.137279111232178,PM10,14
BQ9,51.4659832746662,0.184877126994369,PM10,13
BQ9,51.4659832746662,0.184877126994369,PM25,9
BT4,51.552476,-0.258089,DUST,33
BT4,51.552476,-0.258089,NO2,49
BT4,51.552476,-0.258089,PM10,25
BT4,51.552476,-0.258089,PM25,13
BT5,51.552656,-0.248774,DUST,24
BT5,51.552656,-0.248774,NO2,29
BT5,51.552656,-0.248774,PM10,21
BT6,51.537799,-0.247793,DUST,20
BT6,51.537799,-0.247793,NO2,29
BT6,51.537799,-0.247793,PM10,18
BT8,51.5324054617809,-0.217718908639377,DUST,18
BT8,51.5324054617809,-0.217718908639377,NO2,29
BT8,51.5324054617809,-0.217718908639377,PM10,16
BX0,51.4906102082147,0.158914493927518,PM10,18
BX1,51.4659832746662,0.184877126994369,DUST,18
BX1,51.4659832746662,0.184877126994369,NO2,19
BX1,51.4659832746662,0.184877126994369,PM10,18
BX2,51.4906102082147,0.158914493927518,DUST,19
BX2,51.4906102082147,0.158914493927518,NO2,18
BX2,51.4906102082147,0.158914493927518,PM10,18
BX9,51.4659832746662,0.184877126994369,PM25,9
BY7,51.405546,0.018882,DUST,16
BY7,51.405546,0.018882,NO2,21
BY7,51.405546,0.018882,PM10,16
BY7,51.405546,0.018882,PM25,8
CD1,51.544219,-0.175284,NO2,33
CD1,51.544219,-0.175284,PM10,16
CD1,51.544219,-0.175284,PM25,10
CD9,51.527975,-0.1287742,NO2,48
CD9,51.527975,-0.1287742,PM10,18
CD9,51.527975,-0.1287742,PM25,11
CE1,51.5111824979787,-0.139114122784456,NO2,31
CE2,51.5075819137762,-0.133068372704093,NO2,31
CR5,51.411349,-0.12311,NO2,35
CR7,51.3622305655403,-0.117604507351392,NO2,24
CR8,51.410039,-0.127523,PM25,9
CR9,51.3739530635378,-0.0967638468323854,DUST,18
CR9,51.3739530635378,-0.0967638468323854,NO2,36
CR9,51.3739530635378,-0.0967638468323854,PM10,15
CT2,51.5145253362314,-0.104515626337876,PM25,12
CT3,51.513847178423,-0.077765681752,DUST,16
CT3,51.513847178423,-0.077765681752,NO2,22
CT3,51.513847178423,-0.077765681752,PM10,16
CT3,51.513847178423,-0.077765681752,PM25,12
CT4,51.520225273171,-0.0961060474176381,DUST,20
CT4,51.520225273171,-0.0961060474176381,NO2,29
CT4,51.520225273171,-0.0961060474176381,PM10,18
CT6,51.510499,-0.091634,NO2,45
CT8,51.5095436853913,-0.0873571979556188,DUST,30
CT8,51.5095436853913,-0.0873571979556188,PM10,24
EA6,51.53085,-0.292488,DUST,26
EA6,51.53085,-0.292488,NO2,51
EA6,51.53085,-0.292488,PM10,22
EA8,51.518948,-0.265617,DUST,26
EA8,51.518948,-0.265617,NO2,33
EA8,51.518948,-0.265617,PM10,24
EI1,51.5236078191481,-0.265502631799754,DUST,26
EI1,51.5236078191481,-0.265502631799754,NO2,35
EI1,51.5236078191481,-0.265502631799754,PM10,22
EI3,51.5038527919816,-0.254668101620372,NO2,19
EI3,51.5038527919816,-0.254668101620372,PM10,16
EI8,51.5189160348806,-0.265652052386222,DUST,25
EI8,51.5189160348806,-0.265652052386222,PM10,21
EN1,51.6450367266602,-0.0661800662229116,NO2,18
EN4,51.614864007,-0.0507658363689,NO2,28
EN5,51.613865,-0.125338,NO2,30
EN5,51.613865,-0.125338,PM10,15
EN7,51.66864334727,-0.02200720557,NO2,18
GB0,51.4563,0.085606,PM25,11
GB6,51.4563,0.085606,DUST,20
GB6,51.4563,0.085606,NO2,27
GB6,51.4563,0.085606,PM10,18
GN0,51.490532,0.074003,NO2,26
GN0,51.490532,0.074003,PM10,14
GN0,51.490532,0.074003,PM25,12
GN3,51.486957,0.095111,NO2,30
GN3,51.486957,0.095111,PM10,15
GN3,51.486957,0.095111,PM25,10
GN4,51.4346627060562,0.0642224671704697,NO2,26
GN4,51.4346627060562,0.0642224671704697,PM10,23
GN5,51.4839072533485,0.000407396935849736,DUST,21
GN5,51.4839072533485,0.000407396935849736,NO2,34
GN5,51.4839072533485,0.000407396935849736,PM10,19
GN6,51.4937746695818,0.0107796237032558,DUST,22
GN6,51.4937746695818,0.0107796237032558,NO2,26
GN6,51.4937746695818,0.0107796237032558,PM10,19
GN6,51.4937746695818,0.0107796237032558,PM25,9
GR4,51.45258,0.070766,NO2,13
GR4,51.45258,0.070766,PM10,14
GR4,51.45258,0.070766,PM25,10
GR7,51.472504,-0.012381,DUST,19
GR7,51.472504,-0.012381,NO2,29
GR7,51.472504,-0.012381,PM10,17
GR8,51.486884,0.017901,DUST,24
GR8,51.486884,0.017901,NO2,43
GR8,51.486884,0.017901,PM10,21
GR9,51.456357,0.040725,DUST,21
GR9,51.456357,0.040725,NO2,25
GR9,51.456357,0.040725,PM10,19
GR9,51.456357,0.040725,PM25,8
GV1,51.493492,-0.149906,NO2,23
GV2,51.5129998832095,-0.150913488159214,NO2,28
HG1,51.599302,-0.068218,NO2,33
HG1,51.599302,-0.068218,NO2,33
HG4,51.5839769007709,-0.125400278484885,NO2,16
HI0,51.496309,-0.460826,NO2,28
HK6,51.526454,-0.08491,DUST,21
HK6,51.526454,-0.08491,NO2,37
HK6,51.526454,-0.08491,PM10,19
HP1,51.4496728960354,-0.0374153592115306,NO2,16
HP1,51.4496728960354,-0.0374153592115306,PM10,14
HP1,51.4496728960354,-0.0374153592115306,PM25,9
HR1,51.617327,-0.298775,DUST,16
HR1,51.617327,-0.298775,NO2,15
HR1,51.617327,-0.298775,PM10,14
HR2,51.588417,-0.362989,DUST,18
HR2,51.588417,-0.362989,NO2,23
HR2,51.588417,-0.362989,PM10,16
HV1,51.520787459334,0.205460705694044,NO2,23
HV1,51.520787459334,0.205460705694044,PM10,15
HV1,51.520787459334,0.205460705694044,PM25,9
HV3,51.572976,0.179079,NO2,29
HV3,51.572976,0.179079,PM10,20
IM1,51.5173675146177,-0.1201947113171,NO2,36
IS2,51.555378,-0.116146,DUST,21
IS2,51.555378,-0.116146,NO2,31
IS2,51.555378,-0.116146,PM10,18
IS6,51.557895,-0.106989,DUST,19
IS6,51.557895,-0.106989,NO2,20
IS6,51.557895,-0.106989,PM10,17
